region,year,deaths_per_100k,missing_per_100k,affected_per_100k,drr_adoption_pct
Region IV-A,2017,0.5,0.1,473.8,93.3
Region IV-A,2018,0.2,0.1,1129.8,100.0
Region IV-A,2019,1.3,0.0,842.1,93.3
Region IV-A,2020,0.3,0.0,9806.3,100.0
Region IV-A,2021,0.1,0.0,850.1,74.8
Region IV-A,2022,0.7,0.1,7552.8,87.1
Region IV-A,2023,0.4,0.0,279.5,71.4
MIMAROPA Region,2016,1.0,0.1,9318.4,82.0
MIMAROPA Region,2017,0.7,0.2,1024.3,100.0
MIMAROPA Region,2018,1.2,0.0,6848.3,100.0
MIMAROPA Region,2019,1.1,0.1,20839.4,100.0
MIMAROPA Region,2020,0.3,0.2,4193.0,100.0
MIMAROPA Region,2021,1.4,0.4,21172.6,100.0
MIMAROPA Region,2022,0.2,0.0,8853.8,100.0
MIMAROPA Region,2023,0.9,0.2,31055.1,23.1
Region V,2016,0.2,0.0,42283.3,91.0
Region V,2017,0.1,0.1,740.8,57.1
Region V,2018,0.2,0.0,10914.1,93.3
Region V,2019,0.8,0.0,25255.8,57.1
Region V,2020,0.5,0.2,41875.7,57.5
Region V,2021,0.1,0.0,994.2,56.7
Region V,2022,0.3,0.2,6227.5,53.3
Region V,2023,0.5,0.0,12859.1,15.8
Region VI,2016,0.1,0.0,1466.7,25.1
Region VI,2017,0.0,0.0,273.5,54.0
Region VI,2018,0.6,0.1,1127.8,20.2
Region VI,2019,2.9,0.1,28473.7,54.0
Region VI,2020,0.2,0.0,2135.8,99.3
Region VI,2021,1.0,0.1,36564.7,100.0
Region VI,2022,0.9,0.1,41158.9,42.4
Region VI,2023,0.3,0.1,37119.1,65.5
Region VII,2016,0.1,0.0,50.7,100.0
Region VII,2017,0.3,0.0,1417.1,95.6
Region VII,2018,1.3,0.1,494.0,87.5
Region VII,2019,1.1,0.0,2373.0,95.6
Region VII,2020,0.1,0.1,103.0,94.1
Region VII,2021,2.9,0.4,54183.8,100.0
Region VII,2022,0.1,0.0,356.1,97.1
Region VII,2023,0.1,0.0,1642.7,94.1
Region VIII,2016,1.6,0.1,3664.5,100.0
Region VIII,2017,1.2,1.1,42316.4,82.9
Region VIII,2018,0.9,0.1,16108.7,59.5
Region VIII,2019,1.7,0.0,56762.1,82.9
Region VIII,2020,0.2,0.0,12244.3,81.9
Region VIII,2021,1.0,0.2,35956.2,83.9
Region VIII,2022,4.2,2.9,22060.5,83.9
Region VIII,2023,0.3,0.0,35690.4,77.9
Region IX,2016,0.3,0.0,579.8,100.0
Region IX,2017,1.5,0.2,6378.9,96.7
Region IX,2018,0.1,0.0,301.4,45.3
Region IX,2019,0.0,0.0,5283.1,96.7
Region IX,2020,0.1,0.0,12.6,94.6
Region IX,2021,0.2,0.0,782.7,96.0
Region IX,2022,0.5,0.1,3305.0,97.3
Region IX,2023,0.5,0.0,17905.3,100.0
Region X,2016,0.1,0.0,153.3,100.0
Region X,2017,0.4,0.0,6101.9,98.0
Region X,2018,0.6,0.0,219.2,85.7
Region X,2019,1.4,0.0,9637.8,98.0
Region X,2020,0.1,0.0,18.8,86.7
Region X,2021,0.6,0.0,4026.9,96.9
Region X,2022,1.0,0.0,5020.4,99.0
Region X,2023,1.2,0.1,13568.6,100.0
Region XI,2016,0.4,0.1,7.6,100.0
Region XI,2017,0.1,0.0,8496.7,100.0
Region XI,2018,0.4,0.0,430.5,100.0
Region XI,2019,0.8,0.1,17448.2,100.0
Region XI,2020,0.1,0.0,255.5,88.9
Region XI,2021,0.8,0.0,3964.8,100.0
Region XI,2022,0.5,0.1,11640.2,100.0
Region XI,2023,0.3,0.2,10941.1,100.0
Region XII,2016,0.1,0.0,858.8,100.0
Region XII,2017,0.2,0.0,9319.0,100.0
Region XII,2018,0.7,0.0,517.6,100.0
Region XII,2019,2.3,0.2,12933.6,100.0
Region XII,2020,0.1,0.0,2631.8,100.0
Region XII,2021,0.4,0.0,2818.9,100.0
Region XII,2022,0.8,0.0,10202.8,100.0
Region XII,2023,0.7,0.0,20733.5,50.0
Region XIII,2016,0.0,0.0,52.0,74.4
Region XIII,2017,0.4,0.0,17158.5,94.9
Region XIII,2018,0.2,0.0,3622.7,76.9
Region XIII,2019,0.8,0.0,3439.6,94.9
Region XIII,2020,0.4,0.1,10166.1,100.0
Region XIII,2021,2.6,0.2,54561.5,93.6
Region XIII,2022,0.1,0.0,13173.4,100.0
Region XIII,2023,0.1,0.2,47523.7,96.2
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2016,0.1,0.0,4463.5,12.5
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2017,0.6,0.1,32638.3,45.6
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2018,0.7,0.0,6892.4,53.7
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2019,0.3,0.1,1641.2,45.6
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020,0.1,0.0,287.1,60.9
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2021,1.5,0.0,10276.4,13.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2022,2.0,0.3,24838.3,48.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2023,2.0,0.5,25997.8,43.1
